sample_id,rgb_relative_path,skeleton_path,person,action,group,camera,low_view_height_cm,low_camera_order,reference_camera,angle_definition,direct_estimated_relative_yaw_deg,estimated_relative_yaw_deg,angle_source,angle_mad_deg,median_fit_rmse_m,candidate_frame_count,usable_frame_count,stable_frame_count,confidence
A003_P001_G001_C005,RGB_P001-P010/P001-P010/P001/A003_P001_G001_C005.mp4,/home/youhan/ws/ETRI-Activity3D-Skeleton/Skeleton(P001-P050)/P001-P050/A003_P001_G001_C005.csv,P001,A003,G001,C005,70,3,C001,source camera forward-axis yaw relative to C001; C001=0,-60.69,-60.69,pairwise_skeleton_registration,9.64,0.2349,84,84,79,medium
A003_P001_G001_C007,RGB_P001-P010/P001-P010/P001/A003_P001_G001_C007.mp4,/home/youhan/ws/ETRI-Activity3D-Skeleton/Skeleton(P001-P050)/P001-P050/A003_P001_G001_C007.csv,P001,A003,G001,C007,70,4,C001,source camera forward-axis yaw relative to C001; C001=0,-84.64,-84.64,pairwise_skeleton_registration,5.2,0.292,84,84,83,medium
A003_P001_G002_C001,RGB_P001-P010/P001-P010/P001/A003_P001_G002_C001.mp4,/home/youhan/ws/ETRI-Activity3D-Skeleton/Skeleton(P001-P050)/P001-P050/A003_P001_G002_C001.csv,P001,A003,G002,C001,70,1,C001,source camera forward-axis yaw relative to C001; C001=0,0.0,0.0,C001_reference,0.0,0.0,0,0,0,reference
A003_P001_G002_C003,RGB_P001-P010/P001-P010/P001/A003_P001_G002_C003.mp4,/home/youhan/ws/ETRI-Activity3D-Skeleton/Skeleton(P001-P050)/P001-P050/A003_P001_G002_C003.csv,P001,A003,G002,C003,70,2,C001,source camera forward-axis yaw relative to C001; C001=0,-28.87,-28.87,pairwise_skeleton_registration,2.88,0.1328,75,75,75,high
A003_P001_G002_C005,RGB_P001-P010/P001-P010/P001/A003_P001_G002_C005.mp4,/home/youhan/ws/ETRI-Activity3D-Skeleton/Skeleton(P001-P050)/P001-P050/A003_P001_G002_C005.csv,P001,A003,G002,C005,70,3,C001,source camera forward-axis yaw relative to C001; C001=0,-60.13,-60.13,pairwise_skeleton_registration,4.31,0.1878,75,75,72,high
A003_P001_G002_C007,RGB_P001-P010/P001-P010/P001/A003_P001_G002_C007.mp4,/home/youhan/ws/ETRI-Activity3D-Skeleton/Skeleton(P001-P050)/P001-P050/A003_P001_G002_C007.csv,P001,A003,G002,C007,70,4,C001,source camera forward-axis yaw relative to C001; C001=0,-56.02,-56.02,pairwise_skeleton_registration,10.72,0.1671,75,75,72,medium
A003_P001_G003_C001,RGB_P001-P010/P001-P010/P001/A003_P001_G003_C001.mp4,/home/youhan/ws/ETRI-Activity3D-Skeleton/Skeleton(P001-P050)/P001-P050/A003_P001_G003_C001.csv,P001,A003,G003,C001,70,1,C001,source camera forward-axis yaw relative to C001; C001=0,0.0,0.0,C001_reference,0.0,0.0,0,0,0,reference
A003_P001_G003_C003,RGB_P001-P010/P001-P010/P001/A003_P001_G003_C003.mp4,/home/youhan/ws/ETRI-Activity3D-Skeleton/Skeleton(P001-P050)/P001-P050/A003_P001_G003_C003.csv,P001,A003,G003,C003,70,2,C001,source camera forward-axis yaw relative to C001; C001=0,12.23,12.23,pairwise_skeleton_registration,4.0,0.1423,68,68,68,high
A003_P001_G003_C005,RGB_P001-P010/P001-P010/P001/A003_P001_G003_C005.mp4,/home/youhan/ws/ETRI-Activity3D-Skeleton/Skeleton(P001-P050)/P001-P050/A003_P001_G003_C005.csv,P001,A003,G003,C005,70,3,C001,source camera forward-axis yaw relative to C001; C001=0,31.75,31.75,pairwise_skeleton_registration,5.68,0.1331,68,68,68,high
A003_P001_G003_C007,RGB_P001-P010/P001-P010/P001/A003_P001_G003_C007.mp4,/home/youhan/ws/ETRI-Activity3D-Skeleton/Skeleton(P001-P050)/P001-P050/A003_P001_G003_C007.csv,P001,A003,G003,C007,70,4,C001,source camera forward-axis yaw relative to C001; C001=0,29.84,29.84,pairwise_skeleton_registration,4.54,0.1317,68,68,68,high
A004_P001_G001_C001,RGB_P001-P010/P001-P010/P001/A004_P001_G001_C001.mp4,/home/youhan/ws/ETRI-Activity3D-Skeleton/Skeleton(P001-P050)/P001-P050/A004_P001_G001_C001.csv,P001,A004,G001,C001,70,1,C001,source camera forward-axis yaw relative to C001; C001=0,0.0,0.0,C001_reference,0.0,0.0,0,0,0,reference
A004_P001_G001_C003,RGB_P001-P010/P001-P010/P001/A004_P001_G001_C003.mp4,/home/youhan/ws/ETRI-Activity3D-Skeleton/Skeleton(P001-P050)/P001-P050/A004_P001_G001_C003.csv,P001,A004,G001,C003,70,2,C001,source camera forward-axis yaw relative to C001; C001=0,12.6,12.6,pairwise_skeleton_registration,5.13,0.1108,92,92,92,high
A004_P001_G001_C005,RGB_P001-P010/P001-P010/P001/A004_P001_G001_C005.mp4,/home/youhan/ws/ETRI-Activity3D-Skeleton/Skeleton(P001-P050)/P001-P050/A004_P001_G001_C005.csv,P001,A004,G001,C005,70,3,C001,source camera forward-axis yaw relative to C001; C001=0,-14.12,-14.12,pairwise_skeleton_registration,5.95,0.3074,92,92,45,medium
A004_P001_G001_C007,RGB_P001-P010/P001-P010/P001/A004_P001_G001_C007.mp4,/home/youhan/ws/ETRI-Activity3D-Skeleton/Skeleton(P001-P050)/P001-P050/A004_P001_G001_C007.csv,P001,A004,G001,C007,70,4,C001,source camera forward-axis yaw relative to C001; C001=0,2.6,2.6,pairwise_skeleton_registration,0.71,0.173,92,92,92,high
A004_P001_G002_C001,RGB_P001-P010/P001-P010/P001/A004_P001_G002_C001.mp4,/home/youhan/ws/ETRI-Activity3D-Skeleton/Skeleton(P001-P050)/P001-P050/A004_P001_G002_C001.csv,P001,A004,G002,C001,70,1,C001,source camera forward-axis yaw relative to C001; C001=0,0.0,0.0,C001_reference,0.0,0.0,0,0,0,reference
A004_P001_G002_C003,RGB_P001-P010/P001-P010/P001/A004_P001_G002_C003.mp4,/home/youhan/ws/ETRI-Activity3D-Skeleton/Skeleton(P001-P050)/P001-P050/A004_P001_G002_C003.csv,P001,A004,G002,C003,70,2,C001,source camera forward-axis yaw relative to C001; C001=0,-2.29,-2.29,pairwise_skeleton_registration,0.94,0.1376,87,87,87,high
A004_P001_G002_C005,RGB_P001-P010/P001-P010/P001/A004_P001_G002_C005.mp4,/home/youhan/ws/ETRI-Activity3D-Skeleton/Skeleton(P001-P050)/P001-P050/A004_P001_G002_C005.csv,P001,A004,G002,C005,70,3,C001,source camera forward-axis yaw relative to C001; C001=0,-29.13,-29.13,pairwise_skeleton_registration,1.57,0.1736,87,87,87,high
A004_P001_G002_C007,RGB_P001-P010/P001-P010/P001/A004_P001_G002_C007.mp4,/home/youhan/ws/ETRI-Activity3D-Skeleton/Skeleton(P001-P050)/P001-P050/A004_P001_G002_C007.csv,P001,A004,G002,C007,70,4,C001,source camera forward-axis yaw relative to C001; C001=0,-48.62,-48.62,pairwise_skeleton_registration,5.75,0.1869,87,87,87,high
A005_P001_G001_C001,RGB_P001-P010/P001-P010/P001/A005_P001_G001_C001.mp4,/home/youhan/ws/ETRI-Activity3D-Skeleton/Skeleton(P001-P050)/P001-P050/A005_P001_G001_C001.csv,P001,A005,G001,C001,70,1,C001,source camera forward-axis yaw relative to C001; C001=0,0.0,0.0,C001_reference,0.0,0.0,0,0,0,reference
A005_P001_G001_C003,RGB_P001-P010/P001-P010/P001/A005_P001_G001_C003.mp4,/home/youhan/ws/ETRI-Activity3D-Skeleton/Skeleton(P001-P050)/P001-P050/A005_P001_G001_C003.csv,P001,A005,G001,C003,70,2,C001,source camera forward-axis yaw relative to C001; C001=0,-42.64,-42.64,pairwise_skeleton_registration,8.63,0.24,90,90,69,medium
A005_P001_G001_C005,RGB_P001-P010/P001-P010/P001/A005_P001_G001_C005.mp4,/home/youhan/ws/ETRI-Activity3D-Skeleton/Skeleton(P001-P050)/P001-P050/A005_P001_G001_C005.csv,P001,A005,G001,C005,70,3,C001,source camera forward-axis yaw relative to C001; C001=0,114.34,114.34,pairwise_skeleton_registration,9.01,0.2917,90,90,46,medium
A005_P001_G001_C007,RGB_P001-P010/P001-P010/P001/A005_P001_G001_C007.mp4,/home/youhan/ws/ETRI-Activity3D-Skeleton/Skeleton(P001-P050)/P001-P050/A005_P001_G001_C007.csv,P001,A005,G001,C007,70,4,C001,source camera forward-axis yaw relative to C001; C001=0,-35.99,-35.99,pairwise_skeleton_registration,6.97,0.2777,90,90,49,medium
A005_P001_G002_C001,RGB_P001-P010/P001-P010/P001/A005_P001_G002_C001.mp4,/home/youhan/ws/ETRI-Activity3D-Skeleton/Skeleton(P001-P050)/P001-P050/A005_P001_G002_C001.csv,P001,A005,G002,C001,70,1,C001,source camera forward-axis yaw relative to C001; C001=0,0.0,0.0,C001_reference,0.0,0.0,0,0,0,reference
A005_P001_G002_C003,RGB_P001-P010/P001-P010/P001/A005_P001_G002_C003.mp4,/home/youhan/ws/ETRI-Activity3D-Skeleton/Skeleton(P001-P050)/P001-P050/A005_P001_G002_C003.csv,P001,A005,G002,C003,70,2,C001,source camera forward-axis yaw relative to C001; C001=0,5.95,5.95,pairwise_skeleton_registration,6.21,0.1624,136,136,120,high
A005_P001_G002_C005,RGB_P001-P010/P001-P010/P001/A005_P001_G002_C005.mp4,/home/youhan/ws/ETRI-Activity3D-Skeleton/Skeleton(P001-P050)/P001-P050/A005_P001_G002_C005.csv,P001,A005,G002,C005,70,3,C001,source camera forward-axis yaw relative to C001; C001=0,-60.24,-60.24,pairwise_skeleton_registration,5.18,0.3085,136,136,102,medium
A005_P001_G002_C007,RGB_P001-P010/P001-P010/P001/A005_P001_G002_C007.mp4,/home/youhan/ws/ETRI-Activity3D-Skeleton/Skeleton(P001-P050)/P001-P050/A005_P001_G002_C007.csv,P001,A005,G002,C007,70,4,C001,source camera forward-axis yaw relative to C001; C001=0,-54.61,-54.61,pairwise_skeleton_registration,4.7,0.2243,136,136,67,high
A006_P001_G001_C001,RGB_P001-P010/P001-P010/P001/A006_P001_G001_C001.mp4,/home/youhan/ws/ETRI-Activity3D-Skeleton/Skeleton(P001-P050)/P001-P050/A006_P001_G001_C001.csv,P001,A006,G001,C001,70,1,C001,source camera forward-axis yaw relative to C001; C001=0,0.0,0.0,C001_reference,0.0,0.0,0,0,0,reference
A006_P001_G001_C003,RGB_P001-P010/P001-P010/P001/A006_P001_G001_C003.mp4,/home/youhan/ws/ETRI-Activity3D-Skeleton/Skeleton(P001-P050)/P001-P050/A006_P001_G001_C003.csv,P001,A006,G001,C003,70,2,C001,source camera forward-axis yaw relative to C001; C001=0,-4.0,-4.0,pairwise_skeleton_registration,7.2,0.3093,211,211,147,medium
A006_P001_G001_C005,RGB_P001-P010/P001-P010/P001/A006_P001_G001_C005.mp4,/home/youhan/ws/ETRI-Activity3D-Skeleton/Skeleton(P001-P050)/P001-P050/A006_P001_G001_C005.csv,P001,A006,G001,C005,70,3,C001,source camera forward-axis yaw relative to C001; C001=0,4.59,4.59,pairwise_skeleton_registration,9.15,0.3051,211,211,111,medium
A006_P001_G001_C007,RGB_P001-P010/P001-P010/P001/A006_P001_G001_C007.mp4,/home/youhan/ws/ETRI-Activity3D-Skeleton/Skeleton(P001-P050)/P001-P050/A006_P001_G001_C007.csv,P001,A006,G001,C007,70,4,C001,source camera forward-axis yaw relative to C001; C001=0,-13.4,-13.4,pairwise_skeleton_registration,6.05,0.2817,211,211,203,medium
A006_P001_G002_C001,RGB_P001-P010/P001-P010/P001/A006_P001_G002_C001.mp4,/home/youhan/ws/ETRI-Activity3D-Skeleton/Skeleton(P001-P050)/P001-P050/A006_P001_G002_C001.csv,P001,A006,G002,C001,70,1,C001,source camera forward-axis yaw relative to C001; C001=0,0.0,0.0,C001_reference,0.0,0.0,0,0,0,reference
A006_P001_G002_C003,RGB_P001-P010/P001-P010/P001/A006_P001_G002_C003.mp4,/home/youhan/ws/ETRI-Activity3D-Skeleton/Skeleton(P001-P050)/P001-P050/A006_P001_G002_C003.csv,P001,A006,G002,C003,70,2,C001,source camera forward-axis yaw relative to C001; C001=0,40.36,40.36,pairwise_skeleton_registration,2.91,0.2227,216,216,216,high
A006_P001_G002_C005,RGB_P001-P010/P001-P010/P001/A006_P001_G002_C005.mp4,/home/youhan/ws/ETRI-Activity3D-Skeleton/Skeleton(P001-P050)/P001-P050/A006_P001_G002_C005.csv,P001,A006,G002,C005,70,3,C001,source camera forward-axis yaw relative to C001; C001=0,46.77,46.77,pairwise_skeleton_registration,7.02,0.3214,216,216,170,medium
A006_P001_G002_C007,RGB_P001-P010/P001-P010/P001/A006_P001_G002_C007.mp4,/home/youhan/ws/ETRI-Activity3D-Skeleton/Skeleton(P001-P050)/P001-P050/A006_P001_G002_C007.csv,P001,A006,G002,C007,70,4,C001,source camera forward-axis yaw relative to C001; C001=0,66.91,66.91,pairwise_skeleton_registration,3.39,0.3149,216,216,216,medium
A007_P001_G001_C001,RGB_P001-P010/P001-P010/P001/A007_P001_G001_C001.mp4,/home/youhan/ws/ETRI-Activity3D-Skeleton/Skeleton(P001-P050)/P001-P050/A007_P001_G001_C001.csv,P001,A007,G001,C001,70,1,C001,source camera forward-axis yaw relative to C001; C001=0,0.0,0.0,C001_reference,0.0,0.0,0,0,0,reference
A007_P001_G001_C003,RGB_P001-P010/P001-P010/P001/A007_P001_G001_C003.mp4,/home/youhan/ws/ETRI-Activity3D-Skeleton/Skeleton(P001-P050)/P001-P050/A007_P001_G001_C003.csv,P001,A007,G001,C003,70,2,C001,source camera forward-axis yaw relative to C001; C001=0,0.86,0.86,pairwise_skeleton_registration,2.16,0.2055,201,201,201,high
A007_P001_G001_C005,RGB_P001-P010/P001-P010/P001/A007_P001_G001_C005.mp4,/home/youhan/ws/ETRI-Activity3D-Skeleton/Skeleton(P001-P050)/P001-P050/A007_P001_G001_C005.csv,P001,A007,G001,C005,70,3,C001,source camera forward-axis yaw relative to C001; C001=0,-22.4,-22.4,pairwise_skeleton_registration,3.04,0.2264,201,201,195,high
A007_P001_G001_C007,RGB_P001-P010/P001-P010/P001/A007_P001_G001_C007.mp4,/home/youhan/ws/ETRI-Activity3D-Skeleton/Skeleton(P001-P050)/P001-P050/A007_P001_G001_C007.csv,P001,A007,G001,C007,70,4,C001,source camera forward-axis yaw relative to C001; C001=0,-49.71,-49.71,pairwise_skeleton_registration,9.68,0.2149,201,201,154,medium
A007_P001_G002_C001,RGB_P001-P010/P001-P010/P001/A007_P001_G002_C001.mp4,/home/youhan/ws/ETRI-Activity3D-Skeleton/Skeleton(P001-P050)/P001-P050/A007_P001_G002_C001.csv,P001,A007,G002,C001,70,1,C001,source camera forward-axis yaw relative to C001; C001=0,0.0,0.0,C001_reference,0.0,0.0,0,0,0,reference
A007_P001_G002_C003,RGB_P001-P010/P001-P010/P001/A007_P001_G002_C003.mp4,/home/youhan/ws/ETRI-Activity3D-Skeleton/Skeleton(P001-P050)/P001-P050/A007_P001_G002_C003.csv,P001,A007,G002,C003,70,2,C001,source camera forward-axis yaw relative to C001; C001=0,22.57,22.57,pairwise_skeleton_registration,2.95,0.2469,222,222,222,high
A007_P001_G002_C005,RGB_P001-P010/P001-P010/P001/A007_P001_G002_C005.mp4,/home/youhan/ws/ETRI-Activity3D-Skeleton/Skeleton(P001-P050)/P001-P050/A007_P001_G002_C005.csv,P001,A007,G002,C005,70,3,C001,source camera forward-axis yaw relative to C001; C001=0,49.12,49.12,pairwise_skeleton_registration,4.72,0.3187,222,222,221,medium
A007_P001_G002_C007,RGB_P001-P010/P001-P010/P001/A007_P001_G002_C007.mp4,/home/youhan/ws/ETRI-Activity3D-Skeleton/Skeleton(P001-P050)/P001-P050/A007_P001_G002_C007.csv,P001,A007,G002,C007,70,4,C001,source camera forward-axis yaw relative to C001; C001=0,63.94,63.94,pairwise_skeleton_registration,4.37,0.3146,222,222,222,medium
A008_P001_G001_C001,RGB_P001-P010/P001-P010/P001/A008_P001_G001_C001.mp4,/home/youhan/ws/ETRI-Activity3D-Skeleton/Skeleton(P001-P050)/P001-P050/A008_P001_G001_C001.csv,P001,A008,G001,C001,70,1,C001,source camera forward-axis yaw relative to C001; C001=0,0.0,0.0,C001_reference,0.0,0.0,0,0,0,reference
A008_P001_G001_C003,RGB_P001-P010/P001-P010/P001/A008_P001_G001_C003.mp4,/home/youhan/ws/ETRI-Activity3D-Skeleton/Skeleton(P001-P050)/P001-P050/A008_P001_G001_C003.csv,P001,A008,G001,C003,70,2,C001,source camera forward-axis yaw relative to C001; C001=0,15.96,15.96,pairwise_skeleton_registration,3.86,0.2381,160,160,90,high
A008_P001_G001_C005,RGB_P001-P010/P001-P010/P001/A008_P001_G001_C005.mp4,/home/youhan/ws/ETRI-Activity3D-Skeleton/Skeleton(P001-P050)/P001-P050/A008_P001_G001_C005.csv,P001,A008,G001,C005,70,3,C001,source camera forward-axis yaw relative to C001; C001=0,-74.48,-74.48,pairwise_skeleton_registration,10.68,0.2785,160,160,117,medium
A008_P001_G001_C007,RGB_P001-P010/P001-P010/P001/A008_P001_G001_C007.mp4,/home/youhan/ws/ETRI-Activity3D-Skeleton/Skeleton(P001-P050)/P001-P050/A008_P001_G001_C007.csv,P001,A008,G001,C007,70,4,C001,source camera forward-axis yaw relative to C001; C001=0,-3.91,-3.91,pairwise_skeleton_registration,3.89,0.2234,160,160,64,high
A009_P001_G001_C001,RGB_P001-P010/P001-P010/P001/A009_P001_G001_C001.mp4,/home/youhan/ws/ETRI-Activity3D-Skeleton/Skeleton(P001-P050)/P001-P050/A009_P001_G001_C001.csv,P001,A009,G001,C001,70,1,C001,source camera forward-axis yaw relative to C001; C001=0,0.0,0.0,C001_reference,0.0,0.0,0,0,0,reference
A009_P001_G001_C003,RGB_P001-P010/P001-P010/P001/A009_P001_G001_C003.mp4,/home/youhan/ws/ETRI-Activity3D-Skeleton/Skeleton(P001-P050)/P001-P050/A009_P001_G001_C003.csv,P001,A009,G001,C003,70,2,C001,source camera forward-axis yaw relative to C001; C001=0,0.52,0.52,pairwise_skeleton_registration,10.15,0.0868,165,165,152,medium
A009_P001_G001_C005,RGB_P001-P010/P001-P010/P001/A009_P001_G001_C005.mp4,/home/youhan/ws/ETRI-Activity3D-Skeleton/Skeleton(P001-P050)/P001-P050/A009_P001_G001_C005.csv,P001,A009,G001,C005,70,3,C001,source camera forward-axis yaw relative to C001; C001=0,-11.79,-11.79,pairwise_skeleton_registration,10.18,0.2471,165,165,85,medium
A009_P001_G001_C007,RGB_P001-P010/P001-P010/P001/A009_P001_G001_C007.mp4,/home/youhan/ws/ETRI-Activity3D-Skeleton/Skeleton(P001-P050)/P001-P050/A009_P001_G001_C007.csv,P001,A009,G001,C007,70,4,C001,source camera forward-axis yaw relative to C001; C001=0,-37.68,-37.68,pairwise_skeleton_registration,4.0,0.1777,165,165,165,high
A009_P001_G002_C001,RGB_P001-P010/P001-P010/P001/A009_P001_G002_C001.mp4,/home/youhan/ws/ETRI-Activity3D-Skeleton/Skeleton(P001-P050)/P001-P050/A009_P001_G002_C001.csv,P001,A009,G002,C001,70,1,C001,source camera forward-axis yaw relative to C001; C001=0,0.0,0.0,C001_reference,0.0,0.0,0,0,0,reference
A009_P001_G002_C003,RGB_P001-P010/P001-P010/P001/A009_P001_G002_C003.mp4,/home/youhan/ws/ETRI-Activity3D-Skeleton/Skeleton(P001-P050)/P001-P050/A009_P001_G002_C003.csv,P001,A009,G002,C003,70,2,C001,source camera forward-axis yaw relative to C001; C001=0,51.45,51.45,pairwise_skeleton_registration,5.35,0.2223,183,183,173,high
A009_P001_G002_C005,RGB_P001-P010/P001-P010/P001/A009_P001_G002_C005.mp4,/home/youhan/ws/ETRI-Activity3D-Skeleton/Skeleton(P001-P050)/P001-P050/A009_P001_G002_C005.csv,P001,A009,G002,C005,70,3,C001,source camera forward-axis yaw relative to C001; C001=0,56.48,56.48,pairwise_skeleton_registration,2.96,0.2266,183,183,183,high
A009_P001_G002_C007,RGB_P001-P010/P001-P010/P001/A009_P001_G002_C007.mp4,/home/youhan/ws/ETRI-Activity3D-Skeleton/Skeleton(P001-P050)/P001-P050/A009_P001_G002_C007.csv,P001,A009,G002,C007,70,4,C001,source camera forward-axis yaw relative to C001; C001=0,19.02,19.02,pairwise_skeleton_registration,2.12,0.1484,183,183,183,high
A010_P001_G001_C001,RGB_P001-P010/P001-P010/P001/A010_P001_G001_C001.mp4,/home/youhan/ws/ETRI-Activity3D-Skeleton/Skeleton(P001-P050)/P001-P050/A010_P001_G001_C001.csv,P001,A010,G001,C001,70,1,C001,source camera forward-axis yaw relative to C001; C001=0,0.0,0.0,C001_reference,0.0,0.0,0,0,0,reference
